genus_species,AUTHOR,order,suborder,family,year,Rege.Date.Source,Intentional_Release,Host_Group,origin,origin2,PHAGY,Source,Synonym,TSN,Canada.or.US,Confirmed.Establishment,Comment,eradicated
Ovatus mentharius,"NA",Hemiptera,"NA",Aphididae,1935,Skvarla 2017,"NA","NA","Palearctic (Europe, Middle East)","NA","NA",Miller et al. 2007,"NA","NA",US,Y,"NA",NA
Oxacis laeta,(Waterhouse),Coleoptera,"NA",Oedemeridae,1953,"NA","NA",ornamental plants and flowers,Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Oxya chinensis,(Thunberg),Orthoptera,"NA",Acrididae,"NA","NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Oxybelus bipunctatus,Olivier,Hymenoptera,"NA",Sphecidae,1935,"NA","NA",forest trees: food crops and vegetables,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Oxycopis vittata,(Fabricius),Coleoptera,"NA",Oedemeridae,1952,"NA","NA",ornamental plants and flowers: fruit trees,Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Oxypoda brachyptera,Stephens,Coleoptera,"NA",Staphylinidae,1977,"Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.;  Klimaszewski, J., Pelletier, G., Germain, C., Work, T., and Hebert, C. 2006. Review of Oxypoda species in Canada and Alaska (Coleoptera: Staphylinidae, Aleocharinae): systematics, bionomics and distribution. The Canadian Entomologist, 138: 737-852.","NA","NA",Palearctic(Europe),"NA","NA","Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.;  Klimaszewski, J., Pelletier, G., Germain, C., Work, T., and Hebert, C. 2006. Review of Oxypoda species in Canada and Alaska (Coleoptera: Staphylinidae, Aleocharinae): systematics, bionomics and distribution. The Canadian Entomologist, 138: 737-852.","NA","NA","NA","NA","NA",NA
Oxypoda exigua,Erichson,Coleoptera,"NA",Staphylinidae,"NA","NA","NA",Cassava: Gardenia: Hibiscus: etc.,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Oxypoda opaca,Gravenhorst,Coleoptera,"NA",Staphylinidae,1936,"Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.;  Hoebeke, E.R. 1990. First record of the Palearctic species Oxypoda opaca (Gravenhorst) from North America (Coleoptera: Staphylinidae, Aleocharinae). Journal of the New York Entomological Society, 97(4): [1989]: 448-454.","NA",Fraxinus and other hosts,Palearctic(Asia) Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Oxypoda operta,SjÃƒÆ’Ã‚Â¶berg,Coleoptera,"NA",Staphylinidae,1970,"Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.;  Klimaszewski, J., Pelletier, G., Germain, C., Work, T., and Hebert, C. 2006. Review of Oxypoda species in Canada and Alaska (Coleoptera: Staphylinidae, Aleocharinae): systematics, bionomics and distribution. The Canadian Entomologist, 138: 737-852.","NA","NA",Palearctic(Europe),"NA","NA","Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.;  Klimaszewski, J., Pelletier, G., Germain, C., Work, T., and Hebert, C. 2006. Review of Oxypoda species in Canada and Alaska (Coleoptera: Staphylinidae, Aleocharinae): systematics, bionomics and distribution. The Canadian Entomologist, 138: 737-852.","NA","NA","NA","NA","NA",NA
Oxyporus mexicanus,Fauvel (1865),Coleoptera,"NA",Staphylinidae,1969,"Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part IV; AMNH Bulletin No. 265, 2001. pg. 1985.; campbell, J.M., 1969. A revision of the New World Oxyporinae (Coleoptera: Staphylinidae). The Canadian Entomologist 101(3): 225ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“268. pg. 254.
","NA","NA","NA","NA","NA","Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part IV; AMNH Bulletin No. 265, 2001. pg. 1985.; campbell, J.M., 1969. A revision of the New World Oxyporinae (Coleoptera: Staphylinidae). The Canadian Entomologist 101(3): 225ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“268. pg. 254.
","NA","NA","NA","NA","NA",NA
Oxytelus incisus,Motschulsky,Coleoptera,"NA",Staphylinidae,1969,"Frank, J.H. and McCoy, E.D. 1992. The Behavioral Ecology of Immigration: The Immigration of Insects to Florida, with a Tabulation of Records Published since 1970. Florida Entomologist 75(1): 1-28","NA",food crops and vegetables: industrial crops: ornamental plants and flowers,Neotropic,"NA","NA","Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28
Peck (2011) The diversity and distributions of the beetles (Insecta: Coleoptera) of the northern Leeward Islands Lesser Antilles (Anguilla Antigua Barbuda Nevis Saba St. BarthÃƒÆ’Ã‚Â©lemy St. Eustatius St. Kitts and St. Martin-St. Maarten. Insecta Mundi 678","NA","NA","NA","NA","NA",NA
Oxytelus laqueatus,Marsham,Coleoptera,"NA",Staphylinidae,1918,"Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.; Notman, H. 1920. Coleoptera collected at Windsor, Broome Co., N.Y., 26 May to June 1918, with notes and descriptions. Journal of the New York Entomological Society, 28(2): 178-194.","NA","NA","NA","NA","NA","Majka, Christopher G. and Jan Klimaszewski. 2008. Introduced Staphylinidae (Coleoptera) in the maritime provinces of Canada. Can. Entomol. 140: 48-72.; Notman, H. 1920. Coleoptera collected at Windsor, Broome Co., N.Y., 26 May to June 1918, with notes and descriptions. Journal of the New York Entomological Society, 28(2): 178-194.","NA","NA","NA","NA","NA",NA
Oxytelus sculptus,Gravenhorst,Coleoptera,"NA",Staphylinidae,1617,"King, Gary Andrew; Bain, Allison, and Dussault, FrÃƒÆ’Ã‚Â©dÃƒÆ’Ã‚Â©ric. 2013. Assessment of insect remains from a colonial well (JR2158; Structure 177) at James Fort, Jamestown, Virginia. IN: A.-M. Faucher, S. NoÃƒÆ’Ã‚Â«l (Eds.), Revue des Laboratoires d'Archeologie de l'UniversitÃƒÆ’Ã‚Â© Laval, vol. 1(2)Internet des Laboratoires d'archÃƒÆ’Ã‚Â©ologie de l'UniversitÃƒÆ’Ã‚Â© Laval, QuÃƒÆ’Ã‚Â©bec (2013), pp. 198ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“210.","NA","NA",Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ozamia lucidalis,(Walker),Lepidoptera,"NA",Pyralidae,1989,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Ozirhincus millefolii,Wachtl,Diptera,"NA",Cecidomyiidae,1907,"NA","NA",fruit trees: food crops and vegetables,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ozophora divaricata,Barber,Hemiptera,Prosorrhyncha,Lygaeidae,1972,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Pachycondyla harpax,Fab. 1804,Hymenoptera,"NA",Formicidae,"NA","Wittenborn, D. and Jeschke, J.M. (2011) Characteristics of exotic ants in North America. NeoBiota 10: 47-64. doi: 10.3897 / neobiota. 10.1047.","NA","NA","NA","NA","NA","Wittenborn, D. and Jeschke, J.M. (2011) Characteristics of exotic ants in North America. NeoBiota 10: 47-64. doi: 10.3897 / neobiota. 10.1047.","NA","NA","NA","NA","NA",NA
Pachycondyla stigma,(Fabricius),Hymenoptera,"NA",Formicidae,1887,"Deyrup, Mark, et.al. Exotic ants in Florida. Transactions of the American entomological Society 126 (3+4): 293-326, 2000.","NA",Musca domestica: house fly; Stomoxys calcitrans: stable fly;,Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Pachycrepoideus vindemiae,(Rondani),Hymenoptera,"NA",Pteromalidae,1955,"NA","NA",ice plant scale: Pulvinaria mesembryanthemi; Pulvinaria delottoi,Oceania Indomalaya,"NA","NA",Guillen (2002) Performance of Two Fruit Fly (Diptera: Tephritidae) Pupal Parasitoids (Coptera haywardi [Hymenoptera: Diapriidae] and Pachycrepoideus vindemiae [Hymenoptera: Pteromalidae]) under Different Environmental Soil Conditions. Biological Control 23: 219ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“227,"NA","NA","NA","NA","NA",NA
Pachynematus clitellatus,(Lepeletier),Hymenoptera,"NA",Tenthredinidae,"NA","NA","NA",Quadraspidiotus perniciosus (Comstock): San Jose scale,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Pachytroctes aegyptius,"NA",Psocoptera,"NA",Pachytroctidae,"NA","NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Pachytychius haematocephalus,(Gyllenhal),Coleoptera,"NA",Curculionidae,1964,"NA","NA",Develops on new growth of ornamental conifers especially Norway Spruce,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Pactolinus parallelus,(Redtenbacher),Coleoptera,"NA",Histeridae,1981,"NA",I,forest trees: ornamental plants and flowers,Indomalaya,"NA",Predator,"ROBO 1981, Pub. 1464, pg. 141","NA","NA","NA","NA","NA",NA
Paectes lunodes,(Guenee),Lepidoptera,"NA",Noctuidae,1989,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Pagaronia minor,"NA",Hemiptera,Auchenorrhyncha,Cicadellidae,2005,"NA","NA",Psylla pyricola: pear psylla,Palearctic(Asia) Palearctic(Asia),"NA","NA",http://bugguide.net/node/view/94361,"NA","NA","NA","NA","NA",NA
Pagiocerus frontalis,(Fabricius),Coleoptera,"NA",Curculionidae,1906,"NA","NA",fruit trees: ornamental plants and flowers,Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Palexorista bohemica,Mensil,Diptera,"NA",Tachinidae,"NA","NA","NA",polyphagous,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Palexorista laxa,(Curran),Diptera,"NA",Tachinidae,1983,"NA","NA",Privet,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Palloptera modesta,(Meigen),Diptera,"NA",Pallopteridae,1982,"NA","NA","NA",Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Palmicultor browni,(Williams),Hemiptera,Sternorrhyncha,Pseudococcidae,1995,"Stocks, I.C. 2013a Recent Adventive Scale Insects (Hemiptera: Coccoidea) and Whiteflies (Hemiptera: Aleyrodidae) in Florida and the Caribbean Region. CABI INVASIVES SerieS Potential Invasive Pests of Agricultural Crops CABI Boston, MA 342-362","NA",fruit trees:,Australasia,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Palmicultor lumpurensis,(Takahashi),Hemiptera,Sternorrhyncha,Pseudococcidae,2002,"Hodges, G., & Hodges, A. (2004). New invasive species of mealybugs, Palmicultor lumpurensis and Chaetococcus bambusae (Hemiptera: Coccoidea: Pseudococcidae), on bamboo in Florida. Florida Entomologist, 87(3), 396-397.","NA",fruit trees:,Palearctic(Asia),"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Palmicultor palmarum,(Ehrhorn),Hemiptera,Sternorrhyncha,Pseudococcidae,1999,"NA","NA",fruit trees:,Indomalaya  Oceania,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Palpita persimilis,Munroe,Lepidoptera,"NA",Crambidae,2012,"NA","NA","NA",Neotropic,"NA","NA",James (2012) Olive Shootworm (Palpita persimilis) in Florida. Florida Dept of Agriculture and Consumer Services. FDACS-P-01834. Entomology Circular Number 426,"NA","NA","NA","NA","NA",NA
Panaphis juglandis,(Goeze),Hemiptera,"NA",Aphididae,1928,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Asia),"NA","NA",Aukema,"NA","NA",US,Y,"NA",NA
Panchlora exoleta,Burmeister,Blattodea,"NA",Blattellidae,"NA","NA","NA",stored products: books and documents,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Panchlora latipennis,SaussureandZehntner,Blattodea,"NA",Blattellidae,"NA","NA","NA",books and documents: stored products: food crops and vegetables,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Panchlora nivea,"NA",Blattodea,"NA",Blattellidae,1900,Smithsonian miscellaneous collections. Vol. 141 (1961) pg. 58,"NA",stored products: books and documents,Neotropic,"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Pandemis cerasana,(Huebner),Lepidoptera,"NA",Tortricidae,1964,"NA","NA","NA",Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Pandemis heparana,(DenisandSchiffermuller),Lepidoptera,"NA",Tortricidae,1978,"NA","NA","NA",Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Pantomorus taeniatulus,(Berg),Coleoptera,"NA",Curculionidae,1910,"NA","NA",food crops and vegetables: forage crops and grasses,Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Panzeria radicum,Fabricius,Diptera,"NA",Tachinidae,1896,"Ashmead, William H., Coquillett, D. W., Kincaid, Trevor, and Pergande, Theo. 1910. Harriman Alaska Expedition Series, Alaska Volume IX, Insects Part II; City of Washington; Published by The Smithsonian Institution.","NA","NA",Palearctic(Europe),"NA","NA","Ashmead, William H., Coquillett, D. W., Kincaid, Trevor, and Pergande, Theo. 1910. Harriman Alaska Expedition Series, Alaska Volume IX, Insects Part II; City of Washington; Published by The Smithsonian Institution.","NA","NA","NA","NA","NA",NA
Parabemisia myricae,(Kuwana),Hemiptera,Sternorrhyncha,Aleyrodidae,1970,"NA","NA","NA",Palearctic(Asia),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Paracarnus cubanus,Bruner,Hemiptera,Prosorrhyncha,Miridae,1974,"NA","NA","NA",Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Paracoccus marginatus,WilliamsandGranaradeWillink,Hemiptera,Sternorrhyncha,Pseudococcidae,1999,"NA","NA",fruit trees:,Neotropic,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Paracolopha morrisoni,Baker,Hemiptera,"NA",Aphididae,1916,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Asia),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",US,Y,"NA",NA
Paradiplosis tumifex,Gagne,Diptera,"NA",Cecidomyiidae,1975,"Osgood,Eben A. and Raymond J. GagnÃƒÆ’Ã‚Â©.  1978. Biology and taxonomy of two gall midges (Diptera: Cecidomyiidae) found in galls on Balsam fir needles with description of a new species of Paradiplosia. Annals of the Entomological Society of America 71(1): 85-91.","NA",fruit trees: food crops and vegetables,"NA","NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Paragonatas costaricensis,(Distant),Hemiptera,Prosorrhyncha,Lygaeidae,1957,"Frank, J.H. and McCoy, E.D. 1992. The Behavioral Ecology of Immigration: The Immigration of Insects to Florida, with a Tabulation of Records Published since 1970. Florida Entomologist 75(1): 1-28. Slater, J.A., and R.M. Baranowski. 1990. Lygaeidae of Florida (Hemiptera: Heteroptera). Arthropods Florida neighboring land areas 14: i-xv, 1-211.","NA","NA",Neotropic,"NA","NA","Frank, J.H. and McCoy, E.D. 1992. The Behavioral Ecology of Immigration: The Immigration of Insects to Florida, with a Tabulation of Records Published since 1970. Florida Entomologist 75(1): 1-28. Slater, J.A., and R.M. Baranowski. 1990. Lygaeidae of Florida (Hemiptera: Heteroptera). Arthropods Florida neighboring land areas 14: i-xv, 1-211.","NA","NA","NA","NA","NA",NA
Paragonatas divergens,(Distant),Hemiptera,Prosorrhyncha,Lygaeidae,1960,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Paraleyrodes bondari,"NA",Hemiptera,Sternorrhyncha,Aleyrodidae,2012,"NA","NA","NA",Neotropic,"NA","NA",Dickey et al. (2015),"NA","NA","NA","NA","NA",NA
Paralitomastix pyralidis,(Ashmead),Hymenoptera,"NA",Encyrtidae,1931,"NA",I,"NA",Palearctic(Europe),"NA",Encyrtid larval parasite,Clausen (1978) Introduced parasites and predators of arthropod pests and weeds: a world review. Agriculture Handbook United States Department of Agricultre (480). pg 185,"NA","NA","NA","NA","NA",NA
Parameotica complana,Mannerheim,Coleoptera,"NA",Staphylinidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Paramesus major,Haupt,Hemiptera,Prosorrhyncha,Cicadellidae,1919,"NA","NA",food crops and vegetables: forest trees,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Paramixia carmelitana,(Carvalho),Hemiptera,Prosorrhyncha,Miridae,1981,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Paramixia polita,(Uhler),Hemiptera,Prosorrhyncha,Miridae,1968,"NA","NA","NA","NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Paraphaenodiscus subterraneus,Ferriere,Hymenoptera,"NA",Encyrtidae,"NA","NA","NA",gypsy moth: Lymantria dispar,"NA","NA","NA",http://www.alphadictionary.com/sounds/pastoral.mp3,"NA","NA","NA","NA","NA",NA
Paraphytomyza populicola,(Walker),Diptera,"NA",Agromyzidae,1956,"NA","NA","NA",Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Parapoynx diminutalis,Snellen,Lepidoptera,"NA",Pyralidae,1976,"NA","NA","NA",Palearctic(Asia),"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Parapristina verticillata,(Waterston),Hymenoptera,"NA",Agaonidae,1986,"NA","NA","NA",Palearctic(Asia),"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Paraputo angustus,(EzzatandMcConnell),Hemiptera,Sternorrhyncha,Pseudococcidae,1912,http://scalenet.info/catalogue/Paraputo%20angustus/,"NA","NA",Palearctic(Asia),"NA","NA",Miller,Dysmicoccus angustus,"NA","NA","NA","NA",NA
Parasaissetia nigra,(Nietner),Hemiptera,Sternorrhyncha,Coccidae,1920,"NA","NA",Is ambrosia beetle in wide variety of hosts.,Afrotropic,"NA","NA","Miller
http://www.phytosanitary.info/content/diagnostic-protocols-regulated-pests-parasaissetia-nigra","NA","NA","NA","NA","NA",NA
Parasallus vitellinus,(Scholtz),Hemiptera,Prosorrhyncha,Miridae,1972,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,Plagiognathus vitellinus,"NA","NA","NA","NA",NA
Parasetigena agilis,Robineau-Desvoidy,Diptera,"NA",Tachinidae,1906,"USDA, ARS 1963. Research on controlling insects without conventional insecticides, ARS 22-85, 23 pp.",I,"NA",Palearctic(Europe),"NA","NA","USDA, ARS 1963. Research on controlling insects without conventional insecticides, ARS 22-85, 23 pp.",Parasetigena silvestris,"NA","NA","NA","NA",NA
Paraswammerdamia lutarea,(Haworth),Lepidoptera,"NA",Yponomeutidae,"NA","NA","NA","NA","NA","NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.","NA","NA","NA","NA","NA",NA
Paratachardina pseudolobata,"NA",Hemiptera,Sternorrhyncha,Psyllidae,1999,CABI,"NA",food crops and vegetables: forest trees,Indomalaya,"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Paratheresia claripalpis,van der Wulp,Diptera,"NA",Tachinidae,1929,"NA",I,polyphagous,Neotropic,"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 180","NA","NA","NA","NA","NA",NA
Paratrechina bourbonica,(Forel),Hymenoptera,"NA",Formicidae,1924,"Deyrup, Mark, et.al. Exotic ants in Florida. Transactions of the American entomological Society 126 (3+4): 293-326, 2000.","NA","NA",Indomalaya,"NA","NA","NANIAD
Stanley Paratrechina bourbonica (Forel) Invasive Ant Threat - Biosecurity New Zealland","NA","NA","NA","NA","NA",NA
Paratrechina flavipes,(Smith),Hymenoptera,"NA",Formicidae,"NA","NA","NA","NA",Palearctic(Asia),"NA","NA","NANIAD
BugGuide","NA","NA","NA","NA","NA",NA
Paratrechina guatemalensis,(Forel),Hymenoptera,"NA",Formicidae,1893,"NA","NA","NA",Neotropic,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Paratrechina longicornis,(Latreille),Hymenoptera,"NA",Formicidae,1930,"Deyrup, Mark, et.al. Exotic ants in Florida. Transactions of the American entomological Society 126 (3+4): 293-326, 2000.","NA","NA",Indomalaya  Oceania,"NA","NA",http://entnemdept.ufl.edu/creatures/urban/ants/crazy_ant.htm,"NA","NA","NA","NA","NA",NA
Paratrechina pubens,Forel,Hymenoptera,"NA",Formicidae,1953,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Paratriphleps laeviusculus,Champion,Hemiptera,Prosorrhyncha,Anthocoridae,1966,"NA",I,"NA",Neotropic,"NA",Predator,http://books.google.com/books?id=AVcBI0GL-; Ag Handbook 480 pg. 206fQC&pg=PA622&lpg=PA622&dq=Paratriphleps+laeviusculus&source=bl&ots=xWXDgzjUVW&sig=y0Atf7n8u3gl8TpoW4vBtaMbRFg&hl=en&sa=X&ei=yMo5UsuwHYeSrAG28YHoDg&ved=0CEEQ6AEwBA#v=onepage&q=Paratriphleps%20laeviusculus&f=false,"NA","NA","NA","NA","NA",NA
Parlatoreapsis chinensis,(Marlatt),Hemiptera,Sternorrhyncha,Diaspididae,1940,"NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Parlatoreopsis pyri,(Marlatt),Hemiptera,Sternorrhyncha,Diaspididae,1960,"NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Parlatoria blanchardi,(Targioni-Tozzetti)Leonardi,Hemiptera,Sternorrhyncha,Diaspididae,1890,"NA","NA","NA",Palearctic(Europe) Afrotropic,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Parlatoria camelliae,Comstock,Hemiptera,Sternorrhyncha,Diaspididae,1886,"NA","NA","NA",Indomolaya Paleartic(Asia),"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Parlatoria crotonis,Douglas,Hemiptera,Sternorrhyncha,Diaspididae,1901,"NA","NA","NA",Indomolaya,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Parlatoria oleae,(Colvee),Hemiptera,Sternorrhyncha,Diaspididae,1931,"NA","NA","NA",Palearctic(Asia),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Parlatoria pergandii,Comstock,Hemiptera,Sternorrhyncha,Diaspididae,1880,"NA","NA","NA",Palearctic(Asia)  Indomalaya,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Parlatoria pittospori,Maskell,Hemiptera,Sternorrhyncha,Diaspididae,1935,"Miller, Douglass R. et.al. 2005. Introduced scale insects (Hemiptera: Coccoidea) of the United States and their impact on U.S. agriculture. Proc. Entomol. Soc. Wash 107(1): 123-158.","NA","NA",Australasia,"NA","NA","Miller, Douglass R. et.al. 2005. Introduced scale insects (Hemiptera: Coccoidea) of the United States and their impact on U.S. agriculture. Proc. Entomol. Soc. Wash 107(1): 123-158.","NA","NA","NA","NA","NA",NA
Parlatoria proteus,Curtis,Hemiptera,Sternorrhyncha,Diaspididae,1910,"Barber, T.C. 1910 The Coccidae of Audubon Park, New Orleans.. Journal of Economic Entomology 3: 420-425.","NA","NA",Palearctic(Europe),"NA","NA","Barber, T.C. 1910 The Coccidae of Audubon Park, New Orleans.. Journal of Economic Entomology 3: 420-425.","NA","NA","NA","NA","NA",NA
Parlatoria pseudaspidiotus,Lindinger,Hemiptera,Sternorrhyncha,Diaspididae,1908,"NA","NA","NA",Indomolaya,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Parlatoria theae,Cockerell,Hemiptera,Sternorrhyncha,Diaspididae,1899,"NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Parlatoria vandae,McKenzie,Hemiptera,Sternorrhyncha,Diaspididae,1960,"NA","NA","NA",Indomalaya,"NA","NA",Miller,"NA","NA","NA","NA",ERADICATED,NA
Parlatoria ziziphi,(Lucas),Hemiptera,Sternorrhyncha,Diaspididae,1895,"NA","NA","NA",Indomalaya,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Parocalea baicalica,Eppelsheim,Coleoptera,"NA",Staphylinidae,"NA","NA","NA",Other,Palearctic(Asia),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Parthenolecanium corni,(Bouche),Hemiptera,Sternorrhyncha,Coccidae,1851,"NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Parthenolecanium fletcheri,(Cockerell),Hemiptera,Sternorrhyncha,Coccidae,1889,"NA","NA",forest trees,Palearctic(Asia) Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.","NA","NA","NA","NA","NA",NA
